epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1171.41,1.50007,2.30906,1.24317,0.84538,0.75501,0.81004,0.42518,1.521,2.24895,1.23057,0.000661157,0.000661157,0.000661157
2,2954.05,1.51616,1.53307,1.24075,0.79167,0.76002,0.78628,0.41966,1.56821,1.72289,1.33179,0.00130153,0.00130153,0.00130153
3,4264.2,1.53994,1.27183,1.2533,0.82836,0.7814,0.83218,0.44998,1.55961,1.25627,1.3769,0.00191551,0.00191551,0.00191551
4,5404.34,1.51493,1.11224,1.27595,0.83776,0.80952,0.8556,0.45468,1.5098,1.30759,1.36314,0.0018812,0.0018812,0.0018812
5,41685.7,1.46645,1.01561,1.22947,0.92623,0.84286,0.89991,0.52483,1.4423,0.95622,1.274,0.0018416,0.0018416,0.0018416
6,42675.3,1.46541,0.98343,1.2285,0.91257,0.88095,0.91451,0.48233,1.47937,0.95589,1.30312,0.001802,0.001802,0.001802
7,43702.2,1.4409,0.95041,1.22268,0.91744,0.88333,0.9034,0.53384,1.36661,0.90707,1.22631,0.0017624,0.0017624,0.0017624
8,44728.1,1.38774,0.90463,1.18977,0.94357,0.87857,0.93091,0.54855,1.35376,0.84144,1.25942,0.0017228,0.0017228,0.0017228
9,45740.7,1.37276,0.83644,1.19849,0.94295,0.90509,0.94009,0.552,1.38904,0.82238,1.22765,0.0016832,0.0016832,0.0016832
10,46847.1,1.40783,0.86234,1.19254,0.93107,0.91429,0.93368,0.57858,1.31883,0.76699,1.2248,0.0016436,0.0016436,0.0016436
11,47802.1,1.34052,0.82848,1.17674,0.89609,0.92397,0.93344,0.58066,1.27598,0.7529,1.1864,0.001604,0.001604,0.001604
12,48683.3,1.32121,0.79532,1.16297,0.95533,0.88571,0.94527,0.57669,1.31551,0.77956,1.17277,0.0015644,0.0015644,0.0015644
13,49571.2,1.33396,0.78633,1.16885,0.94724,0.8976,0.94596,0.56027,1.30328,0.75673,1.21464,0.0015248,0.0015248,0.0015248
14,50484.8,1.29179,0.76327,1.15037,0.94764,0.90714,0.94714,0.56377,1.34544,0.74396,1.24246,0.0014852,0.0014852,0.0014852
15,51392,1.28442,0.7559,1.14158,0.94103,0.91188,0.94927,0.58419,1.25706,0.70724,1.16276,0.0014456,0.0014456,0.0014456
16,53244.9,1.29851,0.75974,1.15648,0.96279,0.9381,0.96524,0.61537,1.23977,0.65184,1.15139,0.001406,0.001406,0.001406
17,54336.4,1.25824,0.71707,1.13147,0.9454,0.89762,0.94752,0.55298,1.4061,0.69563,1.25622,0.0013664,0.0013664,0.0013664
18,55363.1,1.26121,0.71449,1.1245,0.94881,0.93571,0.95478,0.61758,1.23953,0.64737,1.14128,0.0013268,0.0013268,0.0013268
19,56437.7,1.21573,0.70181,1.11538,0.97393,0.93095,0.9571,0.62074,1.21547,0.63383,1.15174,0.0012872,0.0012872,0.0012872
20,57473.7,1.23477,0.69648,1.1065,0.96538,0.92957,0.95986,0.62061,1.22875,0.62182,1.14059,0.0012476,0.0012476,0.0012476
21,58522.4,1.2186,0.68545,1.10429,0.96577,0.92143,0.96279,0.61694,1.24462,0.65777,1.17123,0.001208,0.001208,0.001208
22,59594.5,1.20425,0.66507,1.10439,0.96819,0.94223,0.9602,0.63731,1.1685,0.60978,1.12329,0.0011684,0.0011684,0.0011684
23,60631.9,1.19581,0.65454,1.10065,0.95052,0.95476,0.96522,0.63119,1.19593,0.60253,1.15861,0.0011288,0.0011288,0.0011288
24,61632.6,1.16641,0.64835,1.08863,0.95405,0.95238,0.96796,0.63769,1.18066,0.60764,1.13694,0.0010892,0.0010892,0.0010892
25,63994.9,1.16535,0.65349,1.08559,0.95757,0.9381,0.9567,0.6168,1.20045,0.62102,1.13831,0.0010496,0.0010496,0.0010496
